iter	Passed	Remaining
0	10	10883
1	20	10412
2	32	10672
3	43	10821
4	55	11037
5	68	11425
6	81	11511
7	92	11425
8	102	11245
9	112	11098
10	122	11017
11	133	10955
12	143	10866
13	153	10802
14	163	10727
15	174	10738
16	184	10659
17	194	10618
18	205	10590
19	215	10573
20	225	10500
21	236	10507
22	247	10508
23	257	10473
24	267	10422
25	280	10497
26	294	10596
27	306	10647
28	319	10704
29	335	10834
30	348	10898
31	362	10957
32	376	11046
33	390	11089
34	404	11140
35	418	11197
36	431	11238
37	445	11265
38	455	11235
39	467	11211
40	477	11164
41	487	11121
42	498	11095
43	508	11056
44	519	11030
45	529	10979
46	539	10947
47	551	10934
48	561	10897
49	570	10842
50	580	10796
51	590	10767
52	600	10732
53	610	10692
54	619	10641
55	628	10602
56	641	10605
57	651	10576
58	662	10574
59	673	10551
60	683	10522
61	692	10481
62	702	10446
63	712	10423
64	722	10396
65	734	10387
66	743	10357
67	753	10327
68	763	10303
69	774	10283
70	783	10252
71	808	10424
72	818	10397
73	828	10371
74	838	10347
75	849	10323
76	858	10289
77	869	10281
78	880	10261
79	889	10230
80	899	10200
81	908	10169
82	918	10144
83	928	10130
84	939	10108
85	949	10088
86	959	10070
87	969	10052
88	980	10040
89	991	10023
90	1001	10003
91	1011	9981
92	1020	9955
93	1032	9950
94	1042	9934
95	1052	9912
96	1063	9901
97	1076	9906
98	1086	9890
99	1097	9877
100	1107	9860
101	1117	9837
102	1128	9825
103	1138	9809
104	1148	9790
105	1158	9770
106	1168	9748
107	1177	9723
108	1192	9748
109	1207	9767
110	1222	9793
111	1236	9802
112	1249	9809
113	1261	9806
114	1279	9848
115	1291	9840
116	1301	9825
117	1311	9801
118	1321	9782
119	1331	9764
120	1341	9743
121	1350	9720
122	1360	9701
123	1371	9688
124	1382	9674
125	1394	9670
126	1403	9648
127	1414	9633
128	1423	9612
129	1433	9591
130	1443	9572
131	1453	9557
132	1463	9540
133	1472	9519
134	1482	9498
135	1493	9487
136	1503	9472
137	1513	9451
138	1522	9430
139	1533	9422
140	1543	9400
141	1553	9383
142	1562	9365
143	1571	9343
144	1580	9322
145	1591	9311
146	1601	9295
147	1611	9274
148	1620	9254
149	1629	9234
150	1639	9218
151	1648	9199
152	1659	9185
153	1669	9170
154	1678	9148
155	1689	9139
156	1699	9127
157	1709	9111
158	1719	9092
159	1727	9071
160	1737	9052
161	1747	9038
162	1757	9022
163	1767	9007
164	1775	8987
165	1784	8967
166	1796	8958
167	1806	8945
168	1816	8931
169	1826	8918
170	1836	8905
171	1846	8890
172	1856	8876
173	1866	8859
174	1875	8841
175	1885	8826
176	1895	8811
177	1905	8798
178	1914	8783
179	1926	8775
180	1937	8767
181	1950	8764
182	1964	8772
183	1979	8779
184	1991	8774
185	2004	8771
186	2019	8778
187	2030	8769
188	2039	8752
189	2049	8737
190	2060	8725
191	2070	8712
192	2079	8695
193	2089	8680
194	2099	8666
195	2109	8651
196	2119	8640
197	2129	8626
198	2139	8612
199	2150	8601
200	2160	8586
201	2169	8572
202	2181	8564
203	2190	8549
204	2200	8535
205	2210	8520
206	2222	8514
207	2233	8503
208	2243	8490
209	2254	8480
210	2266	8473
211	2280	8475
212	2293	8475
213	2308	8479
214	2323	8485
215	2337	8484
216	2351	8484
217	2365	8484
218	2378	8482
219	2389	8473
220	2402	8467
221	2413	8458
222	2423	8445
223	2433	8431
224	2444	8420
225	2456	8412
226	2465	8397
227	2475	8383
228	2485	8369
229	2495	8354
230	2505	8339
231	2514	8323
232	2525	8314
233	2536	8304
234	2547	8291
235	2556	8276
236	2567	8265
237	2577	8251
238	2587	8238
239	2597	8224
240	2607	8211
241	2633	8247
242	2643	8234
243	2653	8221
244	2663	8206
245	2673	8193
246	2682	8178
247	2692	8163
248	2701	8149
249	2711	8134
250	2723	8127
251	2734	8115
252	2743	8101
253	2753	8086
254	2762	8072
255	2772	8058
256	2782	8045
257	2792	8031
258	2801	8014
259	2811	8001
260	2821	7989
261	2831	7976
262	2841	7962
263	2850	7947
264	2861	7935
265	2871	7922
266	2880	7908
267	2890	7894
268	2899	7879
269	2909	7865
270	2919	7854
271	2929	7841
272	2940	7830
273	2950	7817
274	2960	7804
275	2970	7791
276	2980	7778
